Latitude,Longitude,Seagr bioregion,Habitat,Genus,Year obs [a AD],Seagr biom above dm [g/m**2],Seagr biom below dm [g/m**2],Seagr biom tot dm [g/m**2],Seagr shoot dens [#/m**2],Seagr cov [%],Seagr leaf dens [#/m**2],Seagr prod above dm [g/m**2/day],Seagr prod below dm [g/m**2/day],Seagr prod total dm [g/m**2/day],Seagr shoot prod dm [g/m**2/day],Seagr leaf prod dm [g/m**2/day],Reference
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,559,,,,,,,,Abadie et al. 2019
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,453,,,,,,,,Abadie et al. 2019
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,246,,,,,,,,Abadie et al. 2019
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,140,24.8,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,188,34.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,112,20.5,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,4,1.5,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,8,2.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,12,4.7,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,40,14.9,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,84,7.3,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,20,1.3,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,8,0.7,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,12,0.7,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,152,6.8,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halodule,2017,,,,12,1.3,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halodule,2017,,,,88,4,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halodule,2017,,,,60,3.3,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,24,5,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halophila,2017,,,,,,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halophila,2017,,,,,,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halophila,2017,,,,20,0.7,,,,,,,Adi et al. 2018
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halodule,2017,,,,,,,,,,,,Adi et al. 2018
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halodule,2017,,,,16,0.3,,,,,,,Adi et al. 2018
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halodule,2017,,,,16,0.3,,,,,,,Adi et al. 2018
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,2.5,,,80.98,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,7,,,119.02,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,11,,,188.96,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,8,,,122.09,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,9,,,185.28,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,,,,204.91,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,4,,,16.07,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,9,,,8.11,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,22,,,21.53,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,13,,,19.66,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,15,,,21.61,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,1,,,2.89,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,20,,,542.4,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,63,,,530.24,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,30,,,487.69,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,59,,,619.91,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,43,,,556.84,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,,,,532.52,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,9,,,150.31,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,4.5,,,126.99,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,9,,,110.43,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,11,,,139.88,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,15,,,98.16,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,12,,,315.34,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,,,,196.93,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,,,,372.39,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,21,,,16.07,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,19,,,28.94,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,25,,,15.68,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,10,,,27.38,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,22,,,10.92,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,33,,,31.67,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,,,,47.43,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,,,,32.14,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,26,,,396.51,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,38,,,452.74,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,37,,,489.21,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,58,,,569.76,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,78,,,586.47,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,38,,,717.93,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,72,,,622.95,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,,,,567.48,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,8.2,,,58.28,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,3,,,138.65,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,8,,,65.03,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,15.5,,,17.86,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,11,,,14.98,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,8,,,11.39,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,45.7,,,489.21,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,42,,,504.41,,,,,,,,Agawin et al. 2001
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,37,,,513.53,,,,,,,,Agawin et al. 2001
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,367.03,483.52,854.95,1468.65,,,1.361,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,367.03,470.33,846.15,1366.34,,,2.373,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,327.47,632.97,973.63,1521.45,,,5.689,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,336.26,569.23,916.48,1267.33,,,14.206,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,301.1,505.5,824.18,1066.01,,,17.452,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,340.66,483.52,835.17,887.79,,,12.112,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,265.93,426.37,709.89,716.17,,,4.677,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,162.64,375.82,547.25,739.27,,,3.56,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,164.84,318.68,483.52,828.38,,,1.885,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,296.7,314.29,613.19,514.85,,,1.361,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,419.78,305.5,736.26,716.17,,,1.082,,,,,Agostini et al. 2003
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,421.98,468.13,903.3,897.69,,,1.571,,,,,Agostini et al. 2003
34.666,138.946,Temperate North Pacific,Coastal,Zostera,1979,26.8,20.2,47.1,,,,,0.7,1.5,,0.7,Aioi et al. 1981
28.583,48.438,Tropical Indo Pacific,Coastal,Halodule,2014,,,8.61,637.68,,,,,,,,Al-Bader et al. 2014
29.327,47.832,Tropical Indo Pacific,Coastal,Halodule,2014,,,3.04,498.61,,,,,,,,Al-Bader et al. 2014
29.371,48.026,Tropical Indo Pacific,Coastal,Halodule,2014,,,8.11,551.75,,,,,,,,Al-Bader et al. 2014
41.673,2.794,Mediterranean,Coastal,Posidonia,1991,,,,78,,7,0.085,,,,,Alcoverro et al. 1995
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,111,,6,0.14,,,,,Alcoverro et al. 1995
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,153,,5.9,0.239,,,,,Alcoverro et al. 1995
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,410,,5.9,0.692,,,,,Alcoverro et al. 1995
42.296,3.292,Mediterranean,Coastal,Posidonia,1991,,,,627,,5.1,0.59,,,,,Alcoverro et al. 1995
37.017,-7.85,Mediterranean,Estuarine,Zostera,2003,,,,,,,,,,,,Alexandre et al. 2006
0.314,6.735,Tropical Atlantic,Coastal,Halodule,2017,23.65,84.38,108.03,4349,,,,,,,,Alexandre et al. 2017
1.633,7.41,Tropical Atlantic,Estuarine,Halodule,2017,1.91,6.07,7.98,1114,,,,,,,,Alexandre et al. 2017
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,214.67,33.5,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,85.11,23.1,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halophila,2017,,,,42.22,7.8,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halodule,2017,,,,20.44,31.1,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,16.67,2.5,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassodendron,2017,,,,5.56,2.1,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,34.8,49.91,84.72,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,9.85,17.29,27.15,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,6.69,11.37,18.06,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,15.88,16.22,32.1,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,28.65,40.54,69.19,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,5.55,9.24,14.78,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,35.7,108.36,144.06,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,17.55,24.8,42.35,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,9.52,16.8,26.32,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,61.92,140.55,202.47,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,3.97,7.57,11.54,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,25.6,60.41,86.02,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halodule,2017,8.03,14.54,22.56,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassodendron,2017,7.95,15.14,23.08,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,54.3,114.57,168.88,,,,,,,,,Ali Rahman et al. 2018
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halophila,2017,3.97,7.57,11.54,,,,,,,,,Ali Rahman et al. 2018
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,22,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,21.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,17.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,22.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,7.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,5.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,1.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,9.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,1.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2007,,,,,20.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2007,,,,,35.2,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,10.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,17.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,28.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,26.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,22.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,14.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,5.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,14.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,19.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,3.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,1.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,1.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,0.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,4.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,17.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,42.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,14.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,18.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,24.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,19.2,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,25.2,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,20.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,8.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,27.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,13.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,6.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,17.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,1.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,1.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,4.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2009,,,,,11.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2009,,,,,35.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,4.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,16.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,19.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,11.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,19.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,19.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,12.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,29,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,17.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,23.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2010,,,,,1.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2010,,,,,11.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2010,,,,,28.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,22.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,25.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,26.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,16.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,3.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,3.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,19.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,11.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,7.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,10,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,2.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,1.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,3.2,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2011,,,,,10.2,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2011,,,,,27.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,25.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,27.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,27.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,15,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,11.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,24.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,16.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,6.8,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,3.1,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,3.6,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,3.3,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,2.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2012,,,,,2.5,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2012,,,,,10,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,26.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,18.4,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,23.7,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,19.9,,,,,,,Alonso Aller et al. 2019
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,13.7,,,,,,,Alonso Aller et al. 2019
